Tagging;message;response
"Ketersediaan;Iphone X warna putih ready 256? dpt bonus apa ya;Ready gan, bonus tempered glass dan softcase."
"Pengiriman;Baik, bisa ikut pengiriman hari ini ya?;bisa gan"
"Spesifikasi;Permisi gan, handphone samsung yang paling bagus sekarang apa ya gan?;Samsung yang paling bagus sekarang Galaxy Note 9 nih gan"
"Spesifikasi;Ooo, spesifikasinya apa aja tuh gan?;Layar 6,4 inci, resolusi 1440x2960 pixel, CPU Octacore,Kamera Dual 12 MP, f/1.5-2.4, 26mm, 1/2.55"", 1.4m, dual pixel PDAF, OIS, ada stylus nya pula gan Lengkapnya bisa dilihat disini gan https://www.samsung.com/id/smartphones/galaxy-note9/"
"Lainnya;mau tanya 1.kalau iPhone X gk ada hitam kan? cm space grey. 2.ini brg ori bukan refurbish? 3. bayar pake cicil CC BCA;ada hitam, barang ori inter bukan refurbish. bisa gan silahkan di coba"
"Aftersales;Redmi 6a ready gan? garansi resmi atau distributor?;ready gan, garansi distributor"
Aftersales;berapa lama garansi nya;1 tahun ka
"Spesifikasi;Xiaomi redmi 5a Rom nya versi global bukan? ada bahasa Indonesia nya gak?;rom nya global ka, ada bahasa Indonesia juga kak"
Pengiriman;Xiaomi redmi 5a gold itu harganya sama kan ya? bisa lgsg grab same day gak ya?;untuk harga yang lebih mahal nya akan kami kirimkan free headset kak.. bisa kak silahkan langsung di pesan terimakasih
"Spesifikasi;Ow gitu. btw ini pertanyaan terakhir. ROM sudah global dan ad bahasa indonesia?;rom nya global kak, bisa bahasa indonesia kak.. silahkan di pesan terimakasih"
Promo;free headset kan yah;untuk harga yang lebih mahal nya kami berikan free headset kak
Spesifikasi;Gan galaxy s8 ready? bekas yah? masih water resistance?;masih gan
Harga;nanya gan.. kalo TT sm note fe yg kmrn ambil disini nambah brp? Hehe;langsung wa aja ya gan
"Spesifikasi;Warna grey ready gan sama ini dual sim atau single sim.?;ready black, gold, blue. dual sim iya gan"
Spesifikasi;Samsung galaxy s7 second ready? yg paling mulus warna apa gan? sama garansi sampe kapan yah?;akhir bulan ini gan
"Promo;Huawei nova 3i 128gb ready ? Dpt headset blutut kan ?;Ready kak silakan order, Gak dpt"
Spesifikasi;Huawei nova 3i ini ada fitur always on display spt samsung ?;ada gan silakan order ya
Pengiriman;bisa gosend?;jNE / JNT aja gan
"Spesifikasi;Saya sedang mencari handphone yang udh pake chipset snapdragon 845;Di toko kami yang menggunakan chipset tersebut antara lain: pocophone f1, vivo nex, samsung galaxy s9, s9 plus, galaxy note 9, oppo find x, asus zenfone 5z, xiaomi mi 8, lg g7"
"Ketersediaan;permisi mas, saya lagi nyari iphone 3gs;wah udh tidak gaada itu mas di pasaran"
"Spesifikasi;waduh, yang paling baru apa ya mas kalo iphone?;sekarang paling baru itu iphone 8 sama iphone x mas"
"Harga;wah, harganya berapaan itu mas?;iphone 8 sekitar 13 juta mas, kalo iphone x sekitar 20juta"
"Ketersediaan;Haloo, saya lagi nyari handphone nokia masih ada gak ya?;wah ada nih bang yang reborn nokia 3310 reborn"
Spesifikasi;bisa whatsapp gak ini ya?;Oh bisa kok bang
"Spesifikasi;Permisi, mau nyari handphone yang ada notchnya kayak iphone x ada gak ya;ada nih gan, asus zenfone 5, huawei p20, oppo r15, oppo f7, vivo v9, lg g7"
Spesifikasi;saya lagi nyari handphone keluaran google namanya apa ya mas;oh kalo keluaran google asli namanya pixel mas
"Spesifikasi;yang terbaru yang mana tuh mas?;pixel 2 yang paling baru mas, harganya 8juta yang 128gb"
"Ketersediaan;gan iphone 4 ready ga?;wah kita udh ga ready, yang paling terakhir kita punya iphone 6"
Promo;oh gitu berapa tuh iphone 6nya ada bonus bonus ga?;harga untuk iphone 6 2jt-3jtan tergantung storage
Harga;yaudah saya ambil 64 gb pengiriman hari ini dapet harga berapa?;3 juta gan udah termasuk ongkir tapi jne reguler
"Ketersediaan;permisi mas, saya lagi nyari iphone pertama kali;wah dah gak jual gan, mungkin cek di toko sebelah"
"Spesifikasi;misi gan, lagi mau nyari handphone dengan nilai benchmark tertinggi sekarang apa ya;oh kalo sekarang itu berdasarkan antutu xiaomi mi black shark mas"
"Harga;oo gitu, harganya berpaan bang?;delapan juta mas"
"Spesifikasi;Spesifikasi nya gimana tuh mas;Snapdragon 845, 8GB RAM, 4000mAh battery, 20MP Camera, 18:9 Fullscreen display, liquid cooling system, pokoknya mantep deh gan"
"Pengiriman;Wah saya tertarik, kirim ke surabaya bisa mas?;Bisa lah mas apa yang gak bisa jaman sekarang"
"Spesifikasi;Bang, xiaomi redmi 4x kondisi baru apa second nih?;Barangnya second gan kondisi 90% cacat minor soalnya gapunya keypad"
Harga;harganya berapa bang;di kita 650 bonus stiker #ganteng
"Pengiriman;mantep tuh, saya order sekarang juga. Bisa kirim hari ini juga gan?;Bisa pembayaran sebelum jam 2 akan dikirim hari ini. Tolong segera dibayar dan tunjukan bukti pembayarannya"
Spesifikasi;gan samsung s7 ram 8gb apa engga ya?;mohon maaf gan untuk samsung s7 paling mentok ramnya hanya 4gb
Spesifikasi;kalo gitu yang ramnya 8gb merek samsung?;kita ready note 9 sama s9
"Harga;harganya berapaan tuh gan s9;kita jual harganya 9 juta gan, kebetulan lagi ada promo speaker bluetooth untuk pembelian samsung galaxy s9"
"Harga;aduh kok mahal, yang ramnya 8gb tapi dibawah 5 juta dapet apa ya gan;untuk spesifikasi s9 dengan harga dibawah 5jt bisa dapet poccophone gan, tapi lagi gaada promo untuk poccophone"
"Spesifikasi;Permisi gan, kira-kira iPhone terbaru itu apa ya?;iPhone terbaru ada iPhone Xs dan iPhone Xr mas"
"Spesifikasi;Bedanya apa ya mas?;Perbedaan paling keliatan sih di masalah layar mas, Kalau iPhone Xs sudah AMOLED, sedangkan iPhone Xr masih LCD"
"Lainnya;Haloo slamat pagi, saya sedang mencari handphone yang cocok untuk saya;Haloo mas, Kalau boleh tahu dipakai Untuk apa ya biasanya?"
Harga;Harganya berapa mas?;13 Juta mas
Harga;Mas saya sedang nyari hape murah;Budget berapa ya mas?
"Harga;Berapa mas harganya?;2,9 juta mas"
"Spesifikasi;Second ya mas?;Baru kok mas ini, tapi sudah lama di gudang"
"Spesifikasi;Bedanya apa tuh mas?;Beda di jaringan mas, sama yang 4G bisa pakai Whatsapp"
"Harga;Wah mantep tuh, harganya berapa mas yang 4G?;2 juta mas"
"Promo;Malam bukalapak, adakah diskon hape malam ini?;ada mas, ini sedang diskon semua smartphone keluaran tahun lalu"
"Promo;Diskon terbesar merk apa mas?;Terbesar merk Xiaomi mas, bisa sampai 40%"
Spesifikasi;Xiaomi apa ya itu?;Mi 5 mas
Harga;Harganya jadi berapa mas?;Jadi 2 juta aja mas
"Spesifikasi;Haloo mas, iPhone model paling lama yang masih dijual apa yaa?;Untuk saat ini Kami masih menjual sampai iPhone 6 mas"
"Harga;Ooooo oke, harganya berapa ya mas?;2,5 juta mas"
"Spesifikasi;Permisi gan, saya lagi nyari handphone Untuk fotografi paling Bagus yang mana ya?;Untuk saat ini ada Google Pixel 3, iPhone Xs, dan Samsung galaxy s9 mas"
"Spesifikasi;beda dari ketinganya apa mas?;Lebih ke selera sih mas, Pixel 3 gaada dual kamera, tapi bisa bokeh. Kalau iPhone dia dual camera, dan hasil bokehnya juga bagus, setelah diambil fotonya, masih bisa juga diatur apperturenya. Kalau Galaxy S9 dia dual apperture jadi bisa di low light dan di tempat terang juga"
"Spesifikasi;Siang bukalapak, saya sedang mencari handphone dengan layar yang besar;Layar besar ada banyak mas, mungkin ada preferensi?"
"Lainnya;Permisi, saya sedang nyari laptop;Disini gak Jual laptop mas, Hanya handphone saja yang kami jual"
"Lainnya;Permisi, saya sedang nyari tablet;Disini tidak Jual tablet mas, tapi kami menjual tablet phone jika masnya tertarik"
Lainnya;Apa tuh tablet phone?;Tablet phone itu tablet sekaligus handphone mas
"Lainnya;Wah ada ya?;Ada mas, tapi terakhir keluar tahun 2012 dan belum diupdate lagi, barangnya masih kami jual"
"Lainnya;Selamat pagi, saya mau nyari oven disini;Maaf kami tidak menjual oven mas disini, kami menjual handphone"
"Lainnya;Selamat malam, saya mau mencari tiket pesawat;Maaf kami menyediakan handphone disini, bukan tiket pesawat mas"
"Lainnya;Selamat pagi, saya ingin mencari komputer untuk kuliah;wah maaf kami tidak menyediakan komputer disini, tapi kami menjual handphone"
Sapaan;Haloo permisi gan;Ada yang bisa dibantu?
"Spesifikasi;Gan mau tanya spek nya HP Samsung A5 dong;RAM: 2GB, Camera: 16MP, Memory Internal: 32GB. Untuk lebih lengkapnya bisa dilihat di  website resmi samsung"
Sapaan;Selamat malam min;Malam. Ada yang bisa dibantu?
Promo;Mau tanya tentang promo di counter Marvel apa masih berlaku?;Masih kak. Minimal pembelian 1jt dapat cashback 10%
"Promo;Sampai kapan tuh min promonya?;Hanya untuk bulan ini, kak"
Lainnya;Mau tanya-tanya dulu boleh kak?;Silakan kak
"Ketersediaan;Redmi 5a masih ada kak?;Ready kak, silahkan diorder"
"Lainnya;Kak sistem pembayarannya gimana ya kak?;Via transfer bank, kak"
"Lainnya;Prosedurnya pembayarannya gimana ya kak?;Setelah transfer, kirim bukti transfernya, baru setelah itu kami proses pengemasan barang dan pengirimannya"
"Pengiriman;Setelah transfer, barang langsung go-s bisa? Butuh cepat soalnya;Bisa kak jika transfer pembayaran dilakukan sebelum jam 12 siang. Jika transfer diatas jam 12 siang maka pengiriman dilakukan keesokan harinya"
"Aftersales;Kak kmarin saya order galaxy s9, saya mau cancel pembelian bisa tidak kak?;Bisa kak tetapi syarat dan ketentuan berlaku"
"Aftersales;Syarat dan ketentuannya apa aja?;Syarat harus mengirimkan bukti transfer dan nomer invoice ke email customer service kami. Ada da sebesar 50rb, jadi dana tidak kembali 100% ya."
Ketersediaan;Kak iphone Xs Max 512gb ready?;Belum kak tetapi bisa pre-order dulu
"Lainnya;Caranya pre-order gimana kak?;Lakukan order seperti biasa gan, namun barang akan dikirim setelah jangka waktu pre-order yang telah kami tentukan."
"Pengiriman;Gan pengiriman barang bagaimana ya? Atau bisa COD?;Mohon maaf kalau COD belum bisa gan, karena barang kami pengiriman dari gudang"
Harga;Gan iphone 6 plus 128GB second gold masih bisa nego?;Bisa gan nego tipis ya
Harga;5jt saya sikat sekarang gan;Waduh kalau harga segitu belum gan
Harga;Kalau 5.300.000 gimana?;Yaudah saya bungkus deh
"Ketersediaan;Ready Google Pixel 2 XL ?;Ada gan, tapi second good condition"
"Harga;Harganya berapa gan?;7.800.000 untuk yang 64 GB warna hitam gan, mulus"
"Spesifikasi;Kondisi batre masih aman gan?;Aman bgt gan, masih tahan untuk 6-7jam pemakaian"
"Aftersales;Mas saya kemaren beli iphone 7 yang rose gold, tapi yang dikirim kok gold?;Mohon maaf kak tolong kiriman gan kembali ke alamat toko kami ya, nanti kami segera gantikan dengan warna yang sesuai"
"Lainnya;Mau tanya kenapa pemesanan saya untuk pembelian HP Huawei gagal terus ya gan?;Mohon maaf kak seperti nya terjadi kesalahan dengan sistem kami, akan kami lakukan pemeliharaan sistem maks 1x24 jam, tolong coba kembali setelah itu ya."
"Ketersediaan;Saya mau tanya hp LG G7 thinQ ready?;Untuk hp LG G7 thinQ tidak ada, masih belum masuk di Indonesia kak"
"Ketersediaan;Kalau boleh tau kira kira kapan ya mulai masuk indonesia?;Mungkin seitar bulan depan, kak. Akan kami infokan apabila telah ready"
Spesifikasi;Kak iphone 8 plus tahan air nggak kak?;Iphone 8 plus anti air kak
Spesifikasi;Kalau iphone 7 plus anti air juga kak?;Beda kak. Kalau iphone 7 plus tahan air tapi tidak anti air
"Ketersediaan;Gan aku mau beli iphone 7 plus 128GB second yang rosegold yang garansi indonesia masih ready ga ya?;Barang iBox ready gan, namun garansi hanya sampai desember 2018"
"Spesifikasi;Oke ga masalah gan, semua aksesorisnya masih aman kan gan? Semua berfungsi dengan baik?;Charger, headset, manual book, bakan sticker masih aman semua gan"
"Aftersales;Halo kak mau konfirmasi ulang masalah pengiriman;Iya kak silahkan, untuk pemesanan yang mana?"
Aftersales;Pesanan HP merk Oppo Type Neo7 atas nama Hipzul Achmad Jabbar apa sudah dikirim ya?;Sebentar kak kami cek dulu
"Promo;Mas maaf mau tanya, untuk HP Vivo V5 bisa dapet aksesoris apa aja ya?;Sesuai normalnya hp-hp lainnya, mungkin kami kasih bonus softcase apabila minat."
"Promo;Oh gitu yaa mas. Sekalian tempered glass-nya bisa ga ya?;Mohon maaf untuk tempered glass kami jual terpisah mas, karena harga HP sudah tergolong murah"
Sapaan;Permisi mas mau nanya garansi HP xiaomi nih.;Silakan. Ada yang bisa dibantu?
"Aftersales;Ini saya beli Redmi 5 bulan april kemaren, apakah bisa bantu claim untuk garansinya? ;Selama belum satu tahun, kami bisa bantu claim mas untuk garansinya"
"Promo;Gan space gray, greenpeal, invoice HK, not activated sama gratisan case & tempered glass ada gan? dapet bagnya juga ga gan?;Ada bosku. Semua lengkap sesuai deskripsi, greenpeel not activated invoice apple store HK dan free bonus lengkap case tempered glass 5D nya. Bagnya ga dpt bosku krn bukan pembelian satuan hehe dikirimkannya ke kami dalam dus2. Silahkan segera diproses transaksinya bosku jika berminat. Terimakasih"
"Spesifikasi;Kalau yg silver ready juga kan ? mau neken po cuma masih galau maslah warna;Ready bosku. Semua warna bisa dipesan bosku. Besok malam sudah ready utk siap dikirim ke bos. Utk digunakan oleh pria atau wanita bosku? biasanya kalo pria gray, wanita gold, silver warna netral bisa pria ataupun wanita."
Pengiriman;Kalau untuk kurir gimana ya gan? mau pake grab gitu bisa? aman kah?;Bisa bosku. Aman bosku karena selalu kami kirimkan menggunakan jaminan asuransi full service dari Tokopedia Insurance.
"Pengiriman;iPhone XS Max Grey, hk set dual nano, hk invoice ready gan? Gojek instant carrier aman ga gan? Pasti sampai kan ya?;Grey masih ada bosku, HK invoice apple store asli kami lampirkan, instant courier aman bosku karena kami selalu menggunakan jg jaminan asuransi dari tokopedia insurance bosku, pasti aman 100% sampai tujuan dan sampai ke bosku. Free bonus case anticrack dan free tempered glass 5D full cover"
Pengiriman;Bisa kirim hari ini Atau masih pre-order?;Barang hari ini semua sudah full booked makanya kami setting 1 Hari PO utk pengiriman besok. Silahkan segera diproses transaksinya jika berminat bosku. Barang ready kok bosku.
"Ketersediaan;iPhone Xs grey ready? barang zp/a?;Ready gan, barang SG ya"
"Pengiriman;Kirakira nyampe surabaya berapa lama? Masih greenpeel ya?;Iya benar, 2-5 hari gan"
"Pengiriman;Nanti saya transaksi ya gan, kalau ama asuransi + packing kayu brp?;Siap gan, coba check out aja ya https://www.tokopedia.com/vernanng/tambahan-biaya-packing-kayu-1 untuk tambahan kayunya."
Spesifikasi;vivo v 11 biru itu yang nebula purple ya?;ya kak
Spesifikasi;ini ada fast charging ga;udah fast charging kak
Ketersediaan;vivo v 11 ready biru ga;ready biru kak
Promo;harga ga turun kak hari ini ada cashback dari vivo kan;tidak ada kak
Aftersales;garansi resmi asus indonesia ada di mana ya gan? kalau garansi resmi bukan distributor kan ya ?;garansi resmi asus
Ketersediaan;ready warna apa aja?;black sama silver
Ketersediaan;rose gold tidak ready ya?;tidak gan lagi kosong
"Harga;Iphone 7 plusnya ready? Harganya udah gabisa turun?;Halo kak, harganya sudah nett kak di 13.700"
Aftersales;Garansi mana ya gan?;Kita garansi resmi dari applenya
Ketersediaan;warna hitamnya ada?;ada gan
"Ketersediaan;redmi 6a ready warna apa aja gan?;kita ready warna hitam, gold, dan biru"
Aftersales;garansinya garansi mana ya?;kita garansinya dari tam kak
Ketersediaan;MI A2 yang black ready gan?;ready gan silahkan order aja
"Promo;untuk case ada gan? Sekalian anti goresnya juga;ada gan tapi casenya aja, tamper glassnya harus order lagi"
Ketersediaan;MI A2 hitam ready?;ready gan silahkan diorder
Pengiriman;apakah kalo pesan sekarang bisa langsung kirim hari ini?;Pesan di  kami langsung kami proses
Promo;Bisa sekalian beli tamper glassnya?;bisa gan langsung pesan aja di etalase aksesoris
Ketersediaan;MI A2 yang ready warna apa aja gan?;Kita yang ready warna black/gold/blue
Lainnya;jual temper atau casenya sekalian gan?;kita ada dua duanya silahkan di order aja di etalase aksesoris
"Ketersediaan;Mi 8 hitam ready gan?;ready, silahkan diorder"
Aftersales;garansi mana ini gan?;garansi distributor bless gan tapi barang original xiaomi dan rom global
Lainnya;bisa sekalian dipasangi temper gak gan?;bisa gan diorder aja sekalian tempernya
Aftersales;untuk klaim garansinya gimana ya gan?;klaim garansi bisa langsung dibawa ke service centre xiaominya langsung gan
Pengiriman;pake gosend bisa gan?;bisa asal daerah jabodetabek gan
Ketersediaan;Poccophone hitam ready gan?;ready gan silahkan order
"Aftersales;ini saya bisa klaim garansi di eraphone gan?;bisa gan, tapi lebih baik diklaim di mi storenya saja"
"Lainnya;oh ini barang resmi gan?;resmi gan, official dari mi storenya"
"Pengiriman;Gan Redmi note 5 bisa dikirim hari ini ga? pakai gojek? warna hitam;Ready gan rosegold, gold, blue dan black bisa dipilih divarian warna harga beda2"
"Aftersales;Bisa dikirim gojek? garansi apa ya?;Bisa, garansi distributor"
"Pengiriman;Oke pak, kirim hari ini yaa pakai someday warna hitam;Orderan masuk diproses pak"
Lainnya;Redmi note 5 plus ready warna apa? Garansi mana? Dan brp lama? kalau ada kerusakan bawa kemana?;Ready black gold blue dan rose beda warna beda harga
"Aftersales;Saya nyimak dulu untuk klaim garansi dan kerusakan;Domisili jakarta bisa langsung ke service centernya, luar jkt kita bisa bantu"
"Spesifikasi;Perbedaan redmi note 5 ini dengan yang dijual di situs resmi xiaomi indonesia selain garansinya, apalagi ya gan bedanya?;Beda garansi dan beda versi gan"
Spesifikasi;Beda versi disini maksudnya gimana gan?;Disini global gan
"Spesifikasi;Kalau secara spek sama persis gan?;Sama gan, bisa di lihat di deskrpsinya gan"
Pengiriman;Bisa dikirim hari ini?;bisa gan silahkan langsung order
"Aftersales;ROMnya global apa cina gan? Ini garansinya distributor atau resmi? Saya bukan orang jakarta;ready gan, romnya global garansi satu tahun di alamat yang tertera pada kartu garansi"
"Aftersales;Bukan rom abal abal nih gan? Kalo garansi dari toko untuk kecacatan barang berapa hari?;Rom sudah global 4 digit bebas update aman gan, barang original xiaomi"
Spesifikasi;Kalo dusnya versi global atau china om? yang hitam ga masuk lagi ya om?;Gold aja gan
Spesifikasi;Kalau dus nya yang china apa global ya gan?;Box china aman gan
"Ketersediaan;Yang dus global habis ya, gan? ane liat youtuber beli di toko agan tapi dapat box global;Random gan dari dulu jual ndak pernah dibedakan sama aja. Malah untuk mi max 2 klo org paham cari yg box china info dari pembeli sih kitanya lebih bagus karna charger original dari chinanya langsung isi lebih cepat dan lebih stabil."
"Lainnya;Oh gitu. Oke kalo jadi siang saya order ya. Kalo link BL ada ndak gan? lagi ada promo cashback kan disana;Order di link sini aja gan lebih hemat ndak usah nunggu cashback, gan"
Sapaan;Halo taufan;Halo ada yang bisa dibantu?
Sapaan;Nama kamu siapa?;lah kan ada di samping gimana sih lu ah
"Sapaan; Selamat sore; Sore, ada yang bisa dibantu?"
"Sapaan; Selamat pagi; Pagi, ada yang bisa dibantu?"
Sapaan; Selamat malam; duuuuuuuh kan udah malem besok aja yaa:)
Sapaan;gan?;Ada apa gan?
Sapaan;halo gan;iya ada apa gan?
"Sapaan;Selamat pagi gan; pagi, ada yang bisa dibantu?"
"Sapaan;Selamat siang gan; siang, ada yang bisa dibantu?"
"Sapaan;Selamat sore gan;sore gan, ada yang bisa dibantu?"
Sapaan;Selamat malam gan;duuuuh udah malam gan besok aja ya:)
Sapaan;gan saya mau nyari hape;silahkan gan kami jual hape
Sapaan;gan saya mau nyari hp;silahkan gan kami jual hp
Sapaan;saya mau nyari hape;silahkan gan kami jual hp
Sapaan;Assalamu'alaikum gan;wa'alaikumsalam ada yang bisa dibantu?
Sapaan;Assalamu'alaikum;Wa'alaikumsalam ada yang bisa dibantu?
Sapaan;gan saya mau nanya;Iya silahkan gan
Sapaan;gan saya boleh nanya?;silahkan gan mau nanya apa?
Sapaan;gan boleh nanya nanya?;silahkan gan tanya aja
Sapaan;gan saya mau nanya dulu boleh?;silahkan gan
Sapaan;mas;ada apa gan?
Sapaan;kak;ada apa gan?
Sapaan;woy gan;iya ada apa gan?
Sapaan;bro;What's up ma friend?
Sapaan;Bro mau beli hape nih;mo beli hape apa bro?
Sapaan;Halo taufan saya mau beli hape;HALO saya taufan siap membantu anda mencari hape
Sapaan;Hi;Halo
